Well_ext,Well_id,Stage_id,date,start_time,end_time,start_date,end_date,hours,total_time,current_stage,activity_code,activity_sub_code,activity_sub_sub_code,stage_complete,avg_rate_bpm,avg_pressure_psi,description
,3106-,,6/27/2022,10:31:00,10:47:38,6/27/2022 10:31,6/27/2022 10:47,0.277222222,00:16,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flushing out zipper manifold
,3106-,,6/27/2022,16:29:00,16:33:00,6/27/2022 16:29,6/27/2022 16:33,0.066666667,00:04,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.13. - NPT - HP Pumping Unit - Other,,,,Filling up Greasers
,3106-,,6/27/2022,16:33:00,16:43:55,6/27/2022 16:33,6/27/2022 16:43,0.181944444,00:10,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flushing out the zipper
,3106-,,6/27/2022,17:50:00,20:11:00,6/27/2022 17:50,6/27/2022 20:11,2.35,02:21,,10. NPT - Weather,10.C. NPT - Lightning,,,,,
,3106-,,6/27/2022,21:54:00,23:06:00,6/27/2022 21:54,6/27/2022 23:06,1.2,01:11,,10. NPT - Weather,10.C. NPT - Lightning,,,,,
,3106-,,6/28/2022,00:08:00,01:49:00,6/28/2022 00:08,6/28/2022 01:49,1.683333333,01:41,,10. NPT - Weather,10.C. NPT - Lightning,,,,,
Talon B 304,3106-Talon B 304,,6/28/2022,09:23:00,09:48:00,6/28/2022 09:23,6/28/2022 09:48,0.416666667,00:25,,8. NPT - UPP,8.C. NPT - Equipment,8.C.12. NPT - Missile,,,,Scout is checking the condition of their check valves.
,3106-,,6/28/2022,09:48:00,10:36:00,6/28/2022 09:48,6/28/2022 10:36,0.8,00:48,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.5. - NPT - HP Pumping Unit - Hydraulic Pump,,,,Topping off hydraulic oils on the low side
,3106-,,6/28/2022,13:28:00,14:06:00,6/28/2022 13:28,6/28/2022 14:06,0.633333333,00:38,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.1. - NPT - HP Pumping Unit - Engine,,,,Topping off the high side oils
,3106-,,6/28/2022,14:06:00,14:16:55,6/28/2022 14:06,6/28/2022 14:16,0.181944444,00:10,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flushing out zipper
,3106-,,6/28/2022,15:17:00,18:12:00,6/28/2022 15:17,6/28/2022 18:12,2.916666667,02:54,,10. NPT - Weather,10.C. NPT - Lightning,,,,,
,3106-,,6/28/2022,23:03:00,23:14:00,6/28/2022 23:03,6/28/2022 23:14,0.183333333,00:11,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flush Zipper
,3106-,,6/28/2022,23:14:00,23:18:00,6/28/2022 23:14,6/28/2022 23:18,0.066666667,00:04,,8. NPT - UPP,8.B. NPT - Prime Up/Pressure Test,8.B.2. NPT - Iron Leak,,,,Tighten a transducter on a pump that was leaking by during the pressur test.
,3106-,,6/29/2022,01:58:00,02:08:00,6/29/2022 01:58,6/29/2022 02:08,0.166666667,00:10,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Dig out sand auger bearings. Blender inspection. Data van computer reset. rig a pump in. rig a pump out.
,3106-,,6/29/2022,07:32:00,09:17:59,6/29/2022 07:32,6/29/2022 09:17,1.766388889,01:45,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Changing out a gasket
,3106-,,6/29/2022,12:02:00,15:35:56,6/29/2022 12:02,6/29/2022 15:35,3.565555556,03:33,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Replacing a valve on the zipper
,3106-,,6/29/2022,16:36:00,18:23:00,6/29/2022 16:36,6/29/2022 18:23,1.783333333,01:47,,8. NPT - UPP,8.C. NPT - Equipment,8.C.7. NPT - Sand Delivery System,,,,
,3106-,,6/29/2022,19:32:00,01:23:00,6/29/2022 19:32,6/30/2022 01:23,5.85,05:50,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Drip on zipper manifold.
,3106-,,6/30/2022,02:25:28,02:54:00,6/30/2022 02:25,6/30/2022 02:54,0.475555556,00:28,,8. NPT - UPP,8.A. NPT - Logistics,8.A.6. NPT - Waiting On Sand,,,,Silo Belt would not turn.  Control boxes. Plug and unplug cables.
Talon B 304,3106-Talon B 304,,6/30/2022,03:04:00,03:50:00,6/30/2022 03:04,6/30/2022 03:50,0.766666667,00:46,,8. NPT - UPP,8.A. NPT - Logistics,8.A.6. NPT - Waiting On Sand,,,,Silo Belt stopped again. Wait on Solaris tech to arrive and trouble shoot.
,3106-,,6/30/2022,06:15:00,06:32:00,6/30/2022 06:15,6/30/2022 06:32,0.283333333,00:17,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,Swapped pump 5 due to bad sleeve
,3106-,,6/30/2022,09:17:00,09:50:52,6/30/2022 09:17,6/30/2022 09:50,0.564444444,00:33,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"In addition to swapping out pump 15, mechanic replaced drive shaft @ station 2 and we performed packing replacement @ station 3 to ensure horsepower  for the following stage"
,3106-,,6/30/2022,12:34:00,13:04:32,6/30/2022 12:34,6/30/2022 13:04,0.508888889,00:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,Swapped pump 14
,3106-,,6/30/2022,15:50:00,16:29:55,6/30/2022 15:50,6/30/2022 16:29,0.665277778,00:39,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,Pump Swapping
Talon B 304,3106-Talon B 304,,6/30/2022,19:12:00,00:09:00,6/30/2022 19:12,7/1/2022 00:09,4.95,04:57,,8. NPT - UPP,8.A. NPT - Logistics,8.A.3. NPT - Waiting On Iron,,,,Wait on Scout to replace flange from monoline
,3106-,,7/1/2022,00:09:00,00:29:00,7/1/2022 00:09,7/1/2022 00:29,0.333333333,00:20,,8. NPT - UPP,8.C. NPT - Equipment,8.C.10. NPT - Transfer Pump,,,,Issues starting Acid boost pump
Talon B 304,3106-Talon B 304,,7/1/2022,03:11:00,03:29:00,7/1/2022 03:11,7/1/2022 03:29,0.3,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Blender Inspection
,3106-,,7/1/2022,08:43:00,09:01:59,7/1/2022 08:43,7/1/2022 09:01,0.316388889,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"Pump Swap, replace victolic seal on pump 10 & reset data van"
Talon B 304,3106-Talon B 304,,7/1/2022,11:43:00,12:11:35,7/1/2022 11:43,7/1/2022 12:11,0.476388889,00:28,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Day/Blender Inspection/Data van reset
,3106-,,7/1/2022,12:29:14,12:44:00,7/1/2022 12:29,7/1/2022 12:44,0.246111111,00:14,,8. NPT - UPP,8.C. NPT - Equipment,8.C.12. NPT - Missile,,,,Blown Seal from pop-off
,3106-,,7/1/2022,15:10:00,15:48:58,7/1/2022 15:10,7/1/2022 15:48,0.649444444,00:38,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"In addition, topping off greasers for packing"
Talon B 304,3106-Talon B 304,,7/1/2022,21:23:00,21:45:00,7/1/2022 21:23,7/1/2022 21:45,0.366666667,00:22,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Night Blender inspection/data van reset
,3106-,,7/2/2022,02:56:00,03:16:00,7/2/2022 02:56,7/2/2022 03:16,0.333333333,00:20,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flushing zipper manifold/Javlin
,3106-,,7/2/2022,11:20:00,12:12:29,7/2/2022 11:20,7/2/2022 12:12,0.874722222,00:52,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,
,3106-,,7/2/2022,14:50:00,16:20:00,7/2/2022 14:50,7/2/2022 16:20,1.5,01:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"Pump Swapping, Dry Icing & Chasing leaks"
Talon B 304,3106-Talon B 304,,7/2/2022,16:20:00,16:50:00,7/2/2022 16:20,7/2/2022 16:50,0.5,00:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Day/Blender Inspection/Data van reset
,3106-,,7/2/2022,21:46:00,21:56:00,7/2/2022 21:46,7/2/2022 21:56,0.166666667,00:10,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flush zipper manifold
,3106-,,7/2/2022,21:56:00,22:29:00,7/2/2022 21:56,7/2/2022 22:29,0.55,00:33,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Night /Blender Inspection/Data van reset
,3106-,,7/3/2022,01:06:00,01:54:00,7/3/2022 01:06,7/3/2022 01:54,0.8,00:48,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"ST12 swap,ST8 Packing online"
,3106-,,7/3/2022,04:32:00,08:19:56,7/3/2022 04:32,7/3/2022 08:19,3.798888889,03:47,,9. NPT - Operator,9.A. NPT - Wireline,9.A.2. NPT - Re-Run Wireline,,,,Wireline re-run
,3106-,,7/3/2022,11:05:00,10:55:00,7/3/2022 11:05,7/4/2022 10:55,23.83333333,23:49,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline dropped the guns
,3106-,,7/4/2022,13:34:00,14:52:00,7/4/2022 13:34,7/4/2022 14:52,1.3,01:18,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline making a run
,3106-,,7/4/2022,15:04:00,15:09:00,7/4/2022 15:04,7/4/2022 15:09,0.083333333,00:05,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Unable to establish boost
,3106-,,7/4/2022,15:32:00,15:50:00,7/4/2022 15:32,7/4/2022 15:50,0.3,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.13. - NPT - HP Pumping Unit - Other,,,,Blown Victolic Seal @ station12
,3106-,,7/4/2022,20:36:00,21:45:00,7/4/2022 20:36,7/4/2022 21:45,1.15,01:08,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wait on wireline
,3106-,,7/5/2022,00:23:00,01:11:00,7/5/2022 00:23,7/5/2022 01:11,0.8,00:48,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wait on wireline
,3106-,,7/5/2022,03:53:00,04:23:00,7/5/2022 03:53,7/5/2022 04:23,0.5,00:30,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wait on wireline
,3106-,,7/5/2022,07:03:00,08:39:00,7/5/2022 07:03,7/5/2022 08:39,1.6,01:36,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline Run
,3106-,,7/5/2022,11:22:00,11:59:00,7/5/2022 11:22,7/5/2022 11:59,0.616666667,00:37,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline Run
,3106-,,7/5/2022,14:39:00,14:50:58,7/5/2022 14:39,7/5/2022 14:50,0.199444444,00:11,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,
,3106-,,7/5/2022,17:31:00,18:03:00,7/5/2022 17:31,7/5/2022 18:03,0.533333333,00:32,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wait on wireline
Talon B 304,3106-Talon B 304,,7/5/2022,20:43:00,20:54:00,7/5/2022 20:43,7/5/2022 20:54,0.183333333,00:11,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Blender Inspection
,3106-,,7/5/2022,23:33:00,23:54:00,7/5/2022 23:33,7/5/2022 23:54,0.35,00:21,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wait on wireline
,3106-,,7/6/2022,02:30:00,03:33:00,7/6/2022 02:30,7/6/2022 03:33,1.05,01:03,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wait on wireline
,3106-,,7/6/2022,06:11:00,06:30:00,7/6/2022 06:11,7/6/2022 06:30,0.316666667,00:19,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline coming out of the hole
,3106-,,7/6/2022,06:30:00,07:00:23,7/6/2022 06:30,7/6/2022 07:00,0.506388889,00:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,"In additon to pump swap, mechanic did a Blender inspection and performed necessary maintenance"
,3106-,,7/6/2022,12:45:00,13:01:00,7/6/2022 12:45,7/6/2022 13:01,0.266666667,00:16,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,Pump Swap
,3106-,,7/6/2022,15:39:00,16:32:00,7/6/2022 15:39,7/6/2022 16:32,0.883333333,00:53,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.9. - NPT - Blender - Augers,,,,Auger 3 dropped
,3106-,,7/6/2022,19:11:00,19:41:00,7/6/2022 19:11,7/6/2022 19:41,0.5,00:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Night /Blender Inspection/Data van rese
Talon B 304,3106-Talon B 304,,7/6/2022,19:41:00,20:52:00,7/6/2022 19:41,7/6/2022 20:52,1.183333333,01:11,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.9. - NPT - Blender - Augers,,,,Auger 3 dropped
,3106-,,7/7/2022,02:58:00,03:24:00,7/7/2022 02:58,7/7/2022 03:24,0.433333333,00:26,,8. NPT - UPP,8.B. NPT - Prime Up/Pressure Test,8.B.2. NPT - Iron Leak,,,,chick ST 13
,3106-,,7/7/2022,05:24:00,05:41:00,7/7/2022 05:24,7/7/2022 05:41,0.283333333,00:17,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.11. - NPT - HP Pumping Unit - Packing,,,,packing in-line
,3106-,,7/7/2022,15:40:00,15:51:00,7/7/2022 15:40,7/7/2022 15:51,0.183333333,00:11,,8. NPT - UPP,8.A. NPT - Logistics,8.A.6. NPT - Waiting On Sand,,,,Solaris generator swap/re-gen
Talon B 304,3106-Talon B 304,,7/7/2022,21:32:00,21:43:00,7/7/2022 21:32,7/7/2022 21:43,0.183333333,00:11,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Grease zipper
,3106-,,7/8/2022,02:59:00,03:06:00,7/8/2022 02:59,7/8/2022 03:06,0.116666667,00:07,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,"	Night /Blender Inspection/Data van reset"
,3106-,,7/8/2022,05:43:00,06:00:00,7/8/2022 05:43,7/8/2022 06:00,0.283333333,00:17,,9. NPT - Operator,9.C. NPT - Equipment,9.C.1. NPT - Well Head,,,,grease wellhead. flush zipper.
,3106-,,7/8/2022,08:41:00,08:51:00,7/8/2022 08:41,7/8/2022 08:51,0.166666667,00:10,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline was coming off the well.
,3106-,,7/8/2022,11:28:00,12:13:00,7/8/2022 11:28,7/8/2022 12:13,0.75,00:45,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Wireline POOH
,3106-,,7/8/2022,17:24:00,17:47:00,7/8/2022 17:24,7/8/2022 17:47,0.383333333,00:23,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Day/blender inspection
,3106-,,7/8/2022,23:01:00,23:12:00,7/8/2022 23:01,7/8/2022 23:12,0.183333333,00:11,,8. NPT - UPP,8.B. NPT - Prime Up/Pressure Test,8.B.7. NPT - Pump Packing / Valves / Seats,,,,Seat & valves ST13
